Start_frame	End_frame	Video_number
6909	7746	V1
10059	11489	V1
13263	14345	V1
14591	15680	V1
17072	17085	V1
21167	22607	V1
23498	23885	V1
26626	27372	V1
30008	31038	V1
31410	31570	V1
31655	32186	V1
33655	34155	V1
35729	36000	V1
1325	1342	V2
7202	8151	V2
8651	9715	V2
19629	20435	V2
21717	22173	V2
23322	23729	V2
23926	24511	V2
25645	25661	V2
25752	25902	V2
25945	26123	V2
29955	30124	V2
30159	30356	V2
30380	30448	V2
32188	32602	V2
32662	32814	V2
33292	33334	V2
33386	33466	V2
33506	34249	V2
34357	34807	V2
10993	12604	V3
12623	12780	V3
13045	13648	V3
13664	14276	V3
14287	14348	V3
14904	15118	V3
15506	15734	V3
15751	15866	V3
15886	16695	V3
16928	17176	V3
17215	17459	V3
17648	18058	V3
18452	18861	V3
20406	20845	V3
21132	21378	V3
21414	21592	V3
21675	21717	V3
22482	22954	V3
23223	23375	V3
23455	23708	V3
23738	24596	V3
24649	25211	V3
26275	26718	V3
26845	26885	V3
27053	27250	V3
28066	28384	V3
31151	31296	V3
2521	3525	V4
4399	5003	V4
5468	7252	V4
7802	7882	V4
8122	8344	V4
8440	8612	V4
10106	10970	V4
11460	11628	V4
15020	15234	V4
15366	15406	V4
17936	18137	V4
18178	18283	V4
18306	18390	V4
18706	20983	V4
22116	22228	V4
22811	23456	V4
24335	24599	V4
24871	25005	V4
27506	27350	V4
27506	27744	V4
27840	28104	V4
30262	30298	V4
30360	30404	V4
30442	30552	V4
31262	31397	V4
31745	31763	V4
31871	32030	V4
32147	32773	V4
5028	6088	V5
6474	7024	V5
7308	7421	V5
9686	10063	V5
10090	10504	V5
10518	10567	V5
10608	10728	V5
10930	11179	V5
11319	11597	V5
11618	11658	V5
11982	12122	V5
15774	16192	V5
16323	16756	V5
17437	17519	V5
17535	17683	V5
17700	17744	V5
17761	17905	V5
17907	17977	V5
17984	18133	V5
19356	19598	V5
24982	25155	V5
25252	25419	V5
25421	25607	V5
25610	25669	V5
25674	25726	V5
26847	26987	V5
27003	27165	V5
27170	27244	V5
27271	27419	V5
27424	27427	V5
27489	27551	V5
27996	28200	V5
28225	28373	V5
30698	31048	V5
31147	31257	V5
32739	32941	V5
33227	33331	V5
33339	33386	V5
33408	33521	V5
33530	33580	V5
33696	33896	V5
34226	34499	V5
34521	34738	V5
34743	34842	V5
35256	35356	V5
35421	35517	V5
35573	35762	V5
664	697	V6
816	867	V6
1000	1126	V6
1151	1245	V6
1283	1498	V6
1503	1563	V6
1567	1620	V6
1693	1722	V6
1799	1936	V6
1942	1963	V6
2015	2729	V6
2738	2862	V6
3647	3804	V6
4081	4113	V6
6414	7507	V6
7514	7569	V6
9552	10073	V6
11046	11110	V6
11368	12159	V6
12219	12538	V6
15058	15297	V6
15502	15653	V6
15722	16481	V6
16497	17086	V6
17095	17184	V6
17265	17311	V6
17339	17492	V6
17497	17549	V6
18586	18752	V6
18761	18781	V6
18809	18998	V6
19440	20097	V6
20302	20466	V6
20550	20960	V6
21973	22147	V6
22157	22239	V6
22245	22261	V6
22374	22489	V6
22497	22545	V6
23453	23574	V6
23609	23672	V6
23686	23744	V6
24223	24560	V6
26145	26456	V6
27181	27368	V6
27383	27523	V6
27604	27694	V6
27704	27801	V6
29397	29508	V6
29529	29634	V6
30217	30743	V6
30832	30885	V6
31279	31385	V6
31493	31710	V6
32168	32572	V6
33225	33368	V6
